#!,Workbook:,Custom,Custom,,,,,,,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,,,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,,,,,,,
Interval,Blowback,Return,Cycle,,,,,,,,,
0,0,0,0,,,,,,,,,
2135,148,286,434,,,,,,,,,
1,,,,,,,,,,,,
6317,19,61,80,,,,51 initial,,,,,
340,20,66,86,,,,28.2,,,,,
312,19,64,83,,,,624g Initisl,,,,,
321,21,64,85,,,,627g remain,,,,,
317, , ,83,,,,,,,,,
317,21,63,84,,,,,,,,,
317,21,67,88,,,,,,,,,
313,20,65,85,,,,,,,,,
317,21,63,84,,,,,,,,,1
319,20,64,84,,,,,,,,,
319,21,65,86,,,,,,,,,
314,20,66,86,,,,,,,,,
312,22,67,89,,,,,,,,,
313,22,64,86,,,,,,,,,
315,21,65,86,,,,,,,,,
318,22,65,87,,,,,,,,,
311, , ,86,,,,,,,,,
315,22,66,88,,,,,,,,,
314,22,67,89,,,,,,,,,
310,21,67,88,,,,,,,,,
313,22,65,87,,,,,,,,,
314,21,66,87,,,,,,,,,
314,22,67,89,,,,,,,,,
290,21,70,91,,,,,,,,,
330, , ,88,,,,,,,,,
292,23,68,91,,,,,,,,,
306,23,66,89,,,,,,,,,
334,22,67,89,,,,,,,,,
298,24,68,92,,,,,,,,,
321,22,67,89,,,,,,,,,
312,23,68,91,,,,,,,,,
310,23,71,94,,,,,,,,,
287, , ,89,,,,,,,,,
311,23,70,93,,,,,,,,,
305,24,67,91,,,,,,,,,
310,24,67,91,,,,,,,,,
329,25,67,92,,,,,,,,,
290,25,66,91,,,,,,,,,
329,25,67,92,,,,,,,,,
289,25,68,93,,,,,,,,,
322,24,71,95,,,,,,,,,
289,24,69,93,,,,,,,,,
324,24,70,94,,,,,,,,,
289,26,68,94,,,,,,,,,
303,26,68,94,,,,,,,,,
306, , ,93,,,,,,,,,
309, , ,93,,,,,,,,,
325,26,69,95,,,,,,,,,
285,27,69,96,,,,,,,,,
329, , ,96,,,,,,,,,
301,27,70,97,,,,,,,,,
279, , ,97,,,,,,,,,
324,29,68,97,,,,,,,,,
302,28,66,94,,,,,,,,,
304,30,66,96,,,,,,,,,
286,30,66,96,,,,,,,,,
301,30,65,95,,,,,,,,,
326,31,65,96,,,,,,,,,
304,31,66,97,,,,,,,,,
286,32,67,99,,,,,,,,,
302,32,66,98,,,,,,,,,
322,33,66,99,,,,,,,,,
299,33,66,99,,,,,,,,,
300,35,66,101,,,,,,,,,
300,35,67,102,,,,,,,,,
295,35,67,102,,,,,,,,,
296,37,68,105,,,,,,,,,
274,39,69,108,,,,,,,,,
293,37,67,104,,,,,,,,,
314,41,70,111,,,,,,,,,
268,38,69,107,,,,,,,,,
293,38,66,104,,,,,,,,,
295,40,71,111,,,,,,,,,
289,43,70,113,,,,,,,,,
287, , ,122,,,,,,,,,
298, , ,124,,,,,,,,,
278, , ,121,,,,,,,,,
